Lokalizacja;Nazwa lokalizacji;Użytkownicy      hot-spot'a;Transfer przychodzący;Transfer wychodzący
LOK001;Park Kuźniczki;67;892996;355632
LOK002;Plac Wybickiego;17;650680;261668
LOK003;Stacja SKM Wrzeszcz - Plac Kołodziejskiego;182;1873568;533032
LOK004;Park Grodzisko;76;40280;29484
LOK005;Stacja SKM Oliwa;251;265232;104724
LOK006;Plac Dwóch Miast;4;21648;14000
LOK007;Dworzec PKS;614;985340;235228
LOK008;Stacja PKP Gdańsk Główny;357;7412844;2366548
LOK009;Park im. Reagana lok. III;17;777928;223868
LOK010;Przystań Żabi Kruk;4;14764;15804
LOK011;Przystań Sienna Grobla;12;67160;13968
LOK012;Przystań Tamka;3;279840;142480
LOK013;Przystań Nadwiślańska;15;1024644;184224
LOK014;Nowy Port CAE Łaźnia 2;50;181640;35892
LOK015;Skwer ul. Marynarki Polskiej;60;5039316;2187576
LOK017;Zieleniec przy ul. Jałmużniczej;29;798892;356112
LOK018;Park de Gaulle'a;108;532960;143472
LOK019;Park ks. Kanonika Orkusza;13;765188;139200
LOK020;Brzeźno Molo;80;5890912;831552
LOK021;Targ Węglowy;531;7361356;3438116
LOK022;Plac Zebrań Ludowych;53;387120;159740
LOK023;Plaża Jelitkowo;81;3408356;798672
LOK024;Plaża Brzeźno I;23;695204;258208
LOK025;Park Brzeźnieński im. Haffnera;28;360428;315100
LOK026;Plaża Stogi;20;86876;22060
LOK027;Plaża Wyspa Sobieszewska;15;18908;46316
LOK028;Park Oliwski;251;8721976;1158104
LOK029;Park im. Reagana lok. I;31;845192;292376
LOK030;Park im. Jana Pawła II;10;119912;63020
LOK031;Park Millenium Gdańska;11;384220;253968
LOK032;Park Akademicki;228;456432;70124
LOK033;Park im. Steffena;56;284100;234428
LOK035;Park Oruński;21;73352;17408
LOK036;Akademia Wychowania Fizycznego i Sportu;11;2323996;281308
LOK037;Piwna;219;1643948;887900
LOK038;UMG Medyk;29;3864100;649224
LOK039;ZOO Oliwa;15;485848;201804
LOK040;Twierdza Wisłoujście;5;529268;85344
LOK041;Pomnik Poległych Stoczniowców;6;49484;23640
LOK042;Góra Gradowa;27;482552;220680
LOK043;Skwer przed Krewetką;387;7412808;2366488
LOK044;Zieleniec Heweliusza;156;10217831;2841592
LOK045;Skwer Czesława Niemena;228;11069317;3078392
LOK046;Park Hucisko;388;5683788;1928044
LOK047;Targ Drzewny;58;19416;10608
LOK048;Brama Wyżynna;484;5830632;2666196
LOK049;Dom Harcerza;94;2396772;831080
LOK050;Długa i Długi Targ;1172;1989772;1185168
LOK051;Szeroka I;57;2398260;2771396
LOK052;Park im. Reagana lok. II;11;381528;103796
LOK053;Grobla;63;2398256;2771396
LOK054;Bazylika Mariacka;108;5245916;1038992
LOK055;Szeroka II;70;2398356;2771400
LOK056;Mariacka;184;4569616;1170444
LOK057;Św. Ducha;155;11088536;2057744
LOK058;Stągiewna;175;830336;563848
LOK059;Długie Pobrzeże;65;828340;563584
LOK060;Rybackie Pobrzeże;375;3168584;2142264
